offer_id,offer_type,fa_title,en_title,upc_code,offer_calculation,accumulator_id,flag_offer_id,max_amount,amount_unit,only_full_rate
62777,data,8 گ اینترنت 7 روزه 35200 ت,8GB data 7days 35200T,PO1535LTM,normal,,,,,
62778,data,11 گ اینترنت 7 روزه 33000 ت,11GB data 7days 33000T,PO1536EPT,normal,,,,,
62779,data,11 گ اینترنت 7 روزه 35200 ت,11GB data 7days 35200T,PO1537LTM,normal,,,,,
62780,data,11 گ اینترنت 7 روزه 37400 ت,11GB data 7days 37400T,PO1538ZCY,normal,,,,,
62781,data,11 گ اینترنت 7 روزه 39600 ت,11GB data 7days 39600T,PO1540ZCY,normal,,,,,
62782,data,11 گ اینترنت 7 روزه 42900 ت,11GB data 7days 42900T,PO1542EPT,normal,,,,,
62783,data,11 گ اینترنت 7 روزه 48400 ت,11GB data 7days 48400T,PO1543LTM,normal,,,,,
62784,data,15 گ اینترنت 7 روزه 45000 ت,15GB data 7days 45000T,PO1545EPT,normal,,,,,
62785,data,15 گ اینترنت 7 روزه 48000 ت,15GB data 7days 48000T,PO1590LTM,normal,,,,,
62786,data,15 گ اینترنت 7 روزه 51000 ت,15GB data 7days 51000T,PO1547ZCY,normal,,,,,
62787,data,15 گ اینترنت 7 روزه 54000 ت,15GB data 7days 54000T,PO1549EPT,normal,,,,,
62788,data,15 گ اینترنت 7 روزه 58500 ت,15GB data 7days 58500T,PO1591ZCY,normal,,,,,
62789,data,15 گ اینترنت 7 روزه 66000 ت,15GB data 7days 66000T,PO1550EPT,normal,,,,,
62790,data,1.5 گ اینترنت 15 روزه 4800 ت,1.5GB data 15days 4800T,PO1592ZCY,normal,,,,,
62791,data,1.5 گ اینترنت 15 روزه 5100 ت,1.5GB data 15days 5100T,PO1554LTM,normal,,,,,
62792,data,1.5 گ اینترنت 15 روزه 5400 ت,1.5GB data 15days 5400T,PO1556LTM,normal,,,,,
62793,data,1.5 گ اینترنت 15 روزه 6525 ت,1.5GB data 15days 6525T,PO1593EPT,normal,,,,,
62794,data,3 گ اینترنت 15 روزه 9450 ت,3GB data 15days 9450T,PO1561ZCY,normal,,,,,
62795,data,5 گ اینترنت 15 روزه 15750 ت,5GB data 15days 15750T,PO1563EPT,normal,,,,,
62796,data,5 گ اینترنت 15 روزه 16750 ت,5GB data 15days 16750T,PO1594LTM,normal,,,,,
62797,data,5 گ اینترنت 15 روزه 19250 ت,5GB data 15days 19250T,PO1565ZCY,normal,,,,,
62798,data,5 گ اینترنت 15 روزه 21750 ت,5GB data 15days 21750T,PO1567EPT,normal,,,,,
62799,data,8.5 گ اینترنت 15 روزه 27000 ت,8.5GB data 15days 27000T,PO1569ZCY,normal,,,,,
62800,data,8.5 گ اینترنت 15 روزه 28475 ت,8.5GB data 15days 28475T,PO1571ZCY,normal,,,,,
62801,data,8.5 گ اینترنت 15 روزه 30100 ت,8.5GB data 15days 30100T,PO1572LTM,normal,,,,,
62802,data,8.5 گ اینترنت 15 روزه 32725 ت,8.5GB data 15days 32725T,PO1573ZCY,normal,,,,,
62803,data,11.5 گ اینترنت 15 روزه 33900 ت,11.5GB data 15days 33900T,PO1595LTM,normal,,,,,
62804,data,11.5 گ اینترنت 15 روزه 36200 ت,11.5GB data 15days 36200T,PO1575ZCY,normal,,,,,
62805,data,11.5 گ اینترنت 15 روزه 38500 ت,11.5GB data 15days 38500T,PO1576EPT,normal,,,,,
62806,data,11.5 گ اینترنت 15 روزه 40800 ت,11.5GB data 15days 40800T,PO1577ZCY,normal,,,,,
62807,data,11.5 گ اینترنت 15 روزه 44200 ت,11.5GB data 15days 44200T,PO1578EPT,normal,,,,,
62808,data,11.5 گ اینترنت 15 روزه 50500 ت,11.5GB data 15days 50500T,PO1596EPT,normal,,,,,
62809,data,13 گ اینترنت 15 روزه 46000 ت,13GB data 15days 46000T,PO1580ZCY,normal,,,,,
62810,data,13 گ اینترنت 15 روزه 51000 ت,13GB data 15days 51000T,PO1581EPT,normal,,,,,
62811,data,13 گ اینترنت 15 روزه 56500 ت,13GB data 15days 56500T,PO1582ZCY,normal,,,,,
62812,data,17 گ اینترنت 15 روزه 56950 ت,17GB data 15days 56950T,PO1583ZCY,normal,,,,,
62813,data,17 گ اینترنت 15 روزه 60350 ت,17GB data 15days 60350T,PO1584EPT,normal,,,,,
62814,data,17 گ اینترنت 15 روزه 65450 ت,17GB data 15days 65450T,PO1585ZCY,normal,,,,,
62815,data,17 گ اینترنت 15 روزه 73950 ت,17GB data 15days 73950T,PO1586ZCY,normal,,,,,
61226,data,2گیگ 30روزه (برای لنز، فیلیمو، روبیکا) 7000تومان,"2GB 30days (For Lenz, Filimo, Rubika) 7000Toman",PO1155NIR,normal,,,,,
62670,data,4 گیگ اینترنت 30 روزه 12400 ت,4GB data 30days 12400T,PO1259ZBJ,normal,,,,,
62671,data,4 گیگ اینترنت 30 روزه 15000 ت,4GB data 30days 15000T,PO1260JSK,normal,,,,,
62672,data,5.5 گیگ اینترنت 30 روزه 18150 ت,5.5GB data 30days 18150T,PO1261QCV,normal,,,,,
62673,data,5.5 گیگ اینترنت 30 روزه 22550 ت,5.5GB data 30days 22550T,PO1262GJQ,normal,,,,,
62674,data,7 گیگ اینترنت 30 روزه 26250 ت,7GB data 30days 26250T,PO1263GJQ,normal,,,,,
62675,data,8 گیگ اینترنت 30 روزه 30000 ت,8GB data 30days 30000T,PO1264JSK,normal,,,,,
62676,data,8 گیگ اینترنت 30 روزه 32800 ت,8GB data 30days 32800T,PO1265GJQ,normal,,,,,
62677,data,9 گیگ اینترنت 30 روزه 29700 ت,9GB data 30days 29700T,PO1266GJQ,normal,,,,,
62678,data,9 گیگ اینترنت 30 روزه 33750 ت,9GB data 30days 33750T,PO1267QCV,normal,,,,,
62679,data,10 گیگ اینترنت 30 روزه 31000 ت,10GB data 30days 31000T,PO1268QCV,normal,,,,,
62680,data,10 گیگ اینترنت 30 روزه 35000 ت,10GB data 30days 35000T,PO1269GJQ,normal,,,,,
62681,data,10 گیگ اینترنت 30 روزه 41000 ت,10GB data 30days 41000T,PO1270JSK,normal,,,,,
62682,data,12 گیگ اینترنت 30 روزه 37200 ت,12GB data 30days 37200T,PO1271JSK,normal,,,,,
62683,data,12 گیگ اینترنت 30 روزه 39600 ت,12GB data 30days 39600T,PO1272GJQ,normal,,,,,
62684,data,12 گیگ اینترنت 30 روزه 45000 ت,12GB data 30days 45000T,PO1273GJQ,normal,,,,,
62685,data,12 گیگ اینترنت 30 روزه 49200 ت,12GB data 30days 49200T,PO1274JSK,normal,,,,,
62686,data,13 گیگ اینترنت 30 روزه 40300 ت,13GB data 30days 40300T,PO1275JSK,normal,,,,,
